ID,Model,ModelParameters,TransformationParameters,Ensemble
3f9891a1ef05444b9f7fccbf28d7d46c,Theta,"{""deseasonalize"": false, ""difference"": true, ""use_test"": false, ""method"": ""auto"", ""period"": null, ""theta"": 3, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""RollingMeanTransformer"", ""2"": ""SeasonalDifference"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {}, ""1"": {""fixed"": true, ""window"": 7}, ""2"": {""lag_1"": 12, ""method"": ""Median""}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,Theta,"{""deseasonalize"": false, ""difference"": true, ""use_test"": false, ""method"": ""auto"", ""period"": null, ""theta"": 3, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""RollingMeanTransformer"", ""2"": ""SeasonalDifference"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {}, ""1"": {""fixed"": true, ""window"": 7}, ""2"": {""lag_1"": 12, ""method"": ""Median""}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""QuantileTransformer"", ""2"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {}, ""1"": {""output_distribution"": ""uniform"", ""n_quantiles"": 63}, ""2"": {""lag_1"": 7, ""method"": ""LastValue""}}}",0
,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""SeasonalDifference"", ""2"": ""SeasonalDifference"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {""lag_1"": 7, ""method"": ""LastValue""}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,UnobservedComponents,"{""level"": ""local linear deterministic trend"", ""maxiter"": 50, ""cov_type"": ""oim"", ""method"": ""newton"", ""autoregressive"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PowerTransformer"", ""2"": ""Detrend"", ""3"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3.5, ""fillna"": null}, ""1"": {}, ""2"": {""model"": ""GLS"", ""phi"": 0.999, ""window"": null}, ""3"": {}}}",0
,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SinTrend"", ""2"": ""StandardScaler"", ""3"": ""Detrend"", ""4"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {}, ""3"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""4"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SinTrend"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SinTrend"", ""2"": ""StandardScaler"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": false, ""method"": ""auto"", ""period"": null, ""theta"": 2.5, ""use_mle"": true}","{""fillna"": ""mean"", ""transformations"": {""0"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": 90}}}",0
,Theta,"{""deseasonalize"": true, ""difference"": false, ""use_test"": true, ""method"": ""auto"", ""period"": null, ""theta"": 1.6, ""use_mle"": false}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference"", ""2"": ""StandardScaler""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": 90}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {}}}",0
,ConstantNaive,"{""constant"": 1}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""SeasonalDifference""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}}}",0
,UnobservedComponents,"{""level"": ""local linear deterministic trend"", ""maxiter"": 50, ""cov_type"": ""opg"", ""method"": ""bfgs"", ""autoregressive"": null, ""regression_type"": ""Holiday""}","{""fillna"": ""time"", ""transformations"": {""0"": ""Detrend"", ""1"": ""StandardScaler""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {}}}",0
,UnobservedComponents,"{""level"": ""random walk with drift"", ""maxiter"": 250, ""cov_type"": ""opg"", ""method"": ""lbfgs"", ""autoregressive"": 1, ""regression_type"": ""Holiday""}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference"", ""2"": ""SeasonalDifference"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {""lag_1"": 12, ""method"": ""Mean""}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,ARDL,"{""lags"": 1, ""trend"": ""c"", ""order"": 0, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference"", ""2"": ""bkfilter"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,ETS,"{""damped_trend"": false, ""trend"": null, ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference"", ""2"": ""StandardScaler"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
,ARDL,"{""lags"": 3, ""trend"": ""c"", ""order"": 1, ""regression_type"": ""holiday""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""SeasonalDifference"", ""2"": ""bkfilter"", ""3"": ""StandardScaler"", ""4"": ""Detrend"", ""5"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""1"": {""lag_1"": 7, ""method"": ""Mean""}, ""2"": {}, ""3"": {}, ""4"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""5"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
